价格,面积,编号,户型,楼层,位置1,位置2,小区,地铁,每平米价格
3410.0,32.0,65223-D,4室1卫,15/15层,朝阳区,林萃桥,澳景花庭,地铁：距8号线林萃桥站900米,106.5625
2330.0,8.0,66027-A,3室1卫,6/20层,东城区,陶然桥,百荣嘉园,地铁：距14号线东段陶然桥站300米,291.25
1820.0,8.0,76796-B,3室1卫,5/11层,顺义区,国展,翠竹新村,地铁：距15号线国展站1800米,227.5
1790.0,11.0,114473-D,4室1卫,4/6层,通州区,通州北苑,通惠北路小区,地铁：距八通线通州北苑站1300米,162.72727272727272
2970.0,18.0,766-A,5室2卫,2/9层,朝阳区,四惠东,通惠家园惠生园,"地铁：距1号线,八通线四惠东站700米",165.0
2490.0,10.0,130484-A,4室1卫,4/6层,朝阳区,高碑店,兴隆家园,地铁：距八通线高碑店站600米,249.0
2340.0,15.0,30780-B,3室1卫,3/27层,朝阳区,小红门,鸿博家园一期B区,地铁：距亦庄线小红门站1250米,156.0
2130.0,11.0,34836-A,3室1卫,15/27层,大兴区,旧宫,旧宫新苑南区,地铁：距亦庄线旧宫站1000米,193.63636363636363
1700.0,10.0,41314-C,3室1卫,5/6层,顺义区,顺义,东兴二区,地铁：距15号线顺义站800米,170.0
4160.0,42.0,44163-A,1室1卫,4/6层,通州区,九棵树,葛布店南里,地铁：距八通线九棵树站300米,99.04761904761905
3190.0,12.0,44438-C,5室1卫,11/28层,朝阳区,潘家园,翌景嘉园,地铁：距10号线潘家园站350米,265.8333333333333
3030.0,10.0,51801-C,4室1卫,2/28层,朝阳区,青年路,珠江罗马嘉园西区,地铁：距6号线青年路站500米,303.0
2910.0,24.0,53906-D,4室1卫,1/6层,通州区,通州北苑,华兴园,地铁：距八通线通州北苑站450米,121.25
2600.0,11.0,57429-B,2室1卫,10/22层,丰台区,丰台南路,鸿业兴园二区,地铁：距9号线丰台南路站900米,236.36363636363637
1920.0,19.0,67264-D,4室1卫,6/6层,通州区,北运河西,南小园,地铁：距6号线北运河西站1400米,101.05263157894737
1120.0,8.0,73000-B,4室1卫,5/11层,房山区,篱笆房,加州水郡四期,地铁：距房山线篱笆房站2550米,140.0
1730.0,10.0,70291-C,3室1卫,3/28层,通州区,高楼金,新城乐居,地铁：距7号线高楼金站450米,173.0
3310.0,10.0,75170-A,2室1卫,5/5层,朝阳区,红庙,延静里中街,"地铁：距6号线,14号线东段金台路站800米",331.0
2620.0,11.0,7524-C,3室1卫,2/23层,丰台区,刘家窑,正邦嘉园,地铁：距5号线刘家窑站300米,238.1818181818182
1660.0,12.0,79984-A,4室1卫,4/6层,通州区,北运河西,运乔嘉园,地铁：距6号线北运河西站1000米,138.33333333333334
2630.0,16.0,67-B,4室2卫,22/28层,昌平区,天通苑,天通苑北一区,地铁：距5号线天通苑站350米,164.375
2980.0,12.0,7821-D,4室1卫,19/22层,海淀区,西小口,莱圳家园,地铁：距8号线西小口站650米,248.33333333333334
3130.0,17.0,8945-C,3室1卫,4/28层,朝阳区,潘家园,百环花园,地铁：距10号线潘家园站250米,184.11764705882354
2440.0,19.0,886-B,5室2卫,6/6层,朝阳区,黄渠,常营民族家园CDF区,地铁：距6号线黄渠站750米,128.42105263157896
1610.0,9.0,116727-B,3室1卫,5/6层,通州区,九棵树,西营前街,地铁：距6号线北运河西站1900米,178.88888888888889
6690.0,50.0,129257-A,1室1卫,1/12层,朝阳区,大郊亭,后现代城,地铁：距7号线大郊亭站650米,133.8
